id,name,professionality,type,,,,,,,,,,,,,,,,
FCS ,DW,2019,1,,,,,,,,,,,,,,,,
HS,FCS,2019,1,,,,,,,,,,,,,,,,
H96,MSL,2019,1,,,,,,,,,,,,,,,,
TD,H96,2019,1,,,,,,,,,,,,,,,,
AS,TSG,2019,1,,,,,,,,,,,,,,,,
TSG,JN,2019,1,,,,,,,,,,,,,,,,
OG,WOB,2019,1,,,,,,,,,,,,,,,,
WOB,BL,2019,1,,,,,,,,,,,,,,,,
TM,VfB,2019,1,,,,,,,,,,,,,,,,
VfB,NW,2019,1,,,,,,,,,,,,,,,,
MRO,BMG,2019,1,,,,,,,,,,,,,,,,
BMG,DH,2019,1,,,,,,,,,,,,,,,,
JN,RBL,2019,1,,,,,,,,,,,,,,,,
RBL,RR,2019,1,,,,,,,,,,,,,,,,
AC,BSC,2019,1,,,,,,,,,,,,,,,,
BSC,PD,2019,1,,,,,,,,,,,,,,,,
MM,FCN,2019,1,,,,,,,,,,,,,,,,
FCN,BSH,2019,1,,,,,,,,,,,,,,,,
HF,FCB,2019,1,,,,,,,,,,,,,,,,
FCB,NK,2019,1,,,,,,,,,,,,,,,,
MS,FCK,2019,1,,,,,,,,,,,,,,,,
FCK,AB,2019,1,,,,,,,,,,,,,,,,
M05,SS,2019,1,,,,,,,,,,,,,,,,
AB,M05,2019,1,,,,,,,,,,,,,,,,
MK,FCK,2019,1,,,,,,,,,,,,,,,,
JK,BSC,2019,1,,,,,,,,,,,,,,,,
BSC,AC,2019,1,,,,,,,,,,,,,,,,
UR,FD,2020,1,,,,,,,,,,,,,,,,
FD,FF,2020,1,,,,,,,,,,,,,,,,
BSC,JK,2020,1,,,,,,,,,,,,,,,,
HH,FCA,2020,1,,,,,,,,,,,,,,,,
FCA,MS,2020,1,,,,,,,,,,,,,,,,
BL,BSC,2020,1,,,,,,,,,,,,,,,,
TSG,AS,2020,1,,,,,,,,,,,,,,,,
MR,TSG,2020,1,,,,,,,,,,,,,,,,
DW,M05,1995,2,,,,,,,,,,,,,,,,
TD,SGE,1996,2,,,,,,,,,,,,,,,,
NW,TSGB,2011,2,,,,,,,,,,,,,,,,
TW,FCH,2002,2,,,,,,,,,,,,,,,,
DH,H96,1999,2,,,,,,,,,,,,,,,,
MRO,M05,2010,2,,,,,,,,,,,,,,,,
PD,BSC,2011,2,,,,,,,,,,,,,,,,
AC ,BSC ,2001,2,,,,,,,,,,,,,,,,
MM,HR,2012,2,,,,,,,,,,,,,,,,
AE,GF,1996,2,,,,,,,,,,,,,,,,
HF,FCB,1990,2,,,,,,,,,,,,,,,,
SS,M05,2004,2,,,,,,,,,,,,,,,,
MG,SSVR,1992,2,,,,,,,,,,SSVR,1992,2,MG,SSVR,1992,2
JK,FCB,1997,2,,,,,,,,,,FCB,1997,2,JK,FCB,1997,2
FF,FCK,1983,2,,,,,,,,,,FCK,1983,2,FF,FCK,1983,2
UR,MANC,1997,2,,,,,,,,,,MANC,1997,2,UR,MANC,1997,2
HH,BVB,2004,2,,,,,,,,,,BVB,2004,2,HH,BVB,2004,2
MR,KSC,2002,2,,,,,,,,,,KSC,2002,2,MR,KSC,2002,2
