id,name,type,league
MR,Marco Rose,1,1
DT,Domenico Tedesco,1,1
TR,Thomas Reis,1,1
TL,Thomas Letsch,1,1
GS,Gerardo Seoane,1,1
XA,Xabi Alonso,1,1
PM,Pellegrino Matarazzo,1,1
BLab,Bruno Labbadia,1,1
ABr,André Breitenreiter,1,1
JN,Julian Nagelsmann,1,1
SS,Sandro Schwarz,1,1
OG,Oliver Glasner,1,1
DT,Dino Toppmöller,1,1
RBL,RB Leipzig,2,1
VfLB,VfL Bochum,2,1
B04,Bayer 04 Leverkusen,2,1
VfB,VfB Stuttgart,2,1
S04,Schalke 04,2,1
TSGH,TSG Hoffenheim,2,1
FCB,FC Bayern München,2,1
BSC,Hertha BSC,2,1
BMG,Borussia Mönchengladbach,2,1
SGE,Eintracht Frankfurt,2,1
